"Panelist","Product","Behavior","Comfort"
"Judie","Fiat","3","9"
"Paul","Fiat","4.5","6.5"
"Aaron","Fiat","4.5","7.5"
"Barbara","Fiat","4","9"
"Diane","Fiat","5","9"
"Mariano","Fiat","3.5","9"
"Tom","Fiat","3.5","7.5"
"Anne","Fiat","4","7.5"
"Gabriela","Fiat","6","8"
"Franck","Fiat","3.5","5"
"Rose","Fiat","4.5","9"
"Elodie","Fiat","4","7"
"Romaric","Fiat","4","6.5"
"Theo","Fiat","3","6"
"Jordane","Fiat","4.5","7.5"
"Blandine","Fiat","4","4"
"Katia","Fiat","6","7.5"
"Marek","Fiat","3.5","9"
"Alexandra","Fiat","4","5"
"James ","Fiat","6","6.5"
"Justin","Fiat","4.5","6.5"
"Caroline","Fiat","3.5","6"
"Benoit","Fiat","3","6.5"
"Severine","Fiat","3","6.5"
"Hugo","Fiat","4.5","6"
"Alban","Fiat","5","6.5"
"Romain","Fiat","4.5","7"
"Nacer","Fiat","3","9"
"Aurelie","Fiat","6","8"
"Oceane","Fiat","3.5","5"
"Prisca","Fiat","4.5","6.5"
"Quentin","Fiat","4.5","6.5"
"Jamil","Fiat","5","6"
"James ","Fiat","3","8"
"Louise","Fiat","3","7.5"
"Lyliane","Fiat","5","9"
"Dorian","Fiat","4","4"
"Bergamont","Fiat","4.5","7.5"
"Youssouf","Fiat","3","4.5"
"Claire","Fiat","3.5","6"
"Matt","Fiat","4","7"
"Alexis","Fiat","4.5","7.5"
"Manuel","Fiat","4.5","6.5"
"Emma","Fiat","3.5","6"
"Jeremy","Fiat","5","7.5"
"Kevin","Fiat","3.5","5"
"Rudy","Fiat","3.5","8"
"Yohan","Fiat","7","9"
"Christelle","Fiat","4","7"
"Eleonore","Fiat","3","9"
"Judie","Ferrari","9.5","4"
"Paul","Ferrari","9","3.75"
"Aaron","Ferrari","8.5","3.5"
"Barbara","Ferrari","9","3"
"Diane","Ferrari","9.5","6"
"Mariano","Ferrari","6","4.25"
"Tom","Ferrari","8.5","3.75"
"Anne","Ferrari","9","3.5"
"Gabriela","Ferrari","6","4.5"
"Franck","Ferrari","8","4.25"
"Rose","Ferrari","8.5","4"
"Elodie","Ferrari","8.5","5"
"Romaric","Ferrari","9.5","3.75"
"Theo","Ferrari","8","4.5"
"Jordane","Ferrari","6","3.5"
"Blandine","Ferrari","6","4.25"
"Katia","Ferrari","8","3.5"
"Marek","Ferrari","9.5","5"
"Alexandra","Ferrari","8","4.5"
"James ","Ferrari","7","3.75"
"Justin","Ferrari","6","4"
"Caroline","Ferrari","9","4"
"Benoit","Ferrari","8.5","3.5"
"Severine","Ferrari","8","6"
"Hugo","Ferrari","8.5","4"
"Alban","Ferrari","9","3"
"Romain","Ferrari","8.5","5"
"Nacer","Ferrari","7","6"
"Aurelie","Ferrari","9.5","3"
"Oceane","Ferrari","8.5","4.25"
"Prisca","Ferrari","6","3"
"Quentin","Ferrari","9.5","8"
"Jamil","Ferrari","8.5","3"
"James ","Ferrari","8.5","4.5"
"Louise","Ferrari","7","3.75"
"Lyliane","Ferrari","9","3.5"
"Dorian","Ferrari","9.5","3"
"Bergamont","Ferrari","8","3"
"Youssouf","Ferrari","8.5","5"
"Claire","Ferrari","8.5","4"
"Matt","Ferrari","7","4.25"
"Alexis","Ferrari","9.5","3.5"
"Manuel","Ferrari","8","7"
"Emma","Ferrari","8.5","3.5"
"Jeremy","Ferrari","9","5"
"Kevin","Ferrari","7","3"
"Rudy","Ferrari","9","4.25"
"Yohan","Ferrari","6","4.5"
"Christelle","Ferrari","5","5"
"Eleonore","Ferrari","8","4"
"Judie","Porsche","7.5","7"
"Paul","Porsche","8","8"
"Aaron","Porsche","7","7.25"
"Barbara","Porsche","8.5","7.5"
"Diane","Porsche","8.5","6"
"Mariano","Porsche","5","7.5"
"Tom","Porsche","8","7"
"Anne","Porsche","7","9"
"Gabriela","Porsche","7.5","6.25"
"Franck","Porsche","7","7"
"Rose","Porsche","6.5","5"
"Elodie","Porsche","7","5"
"Romaric","Porsche","7.5","5"
"Theo","Porsche","8.5","7.25"
"Jordane","Porsche","8","7.5"
"Blandine","Porsche","8","6.25"
"Katia","Porsche","6.5","6"
"Marek","Porsche","7.5","7"
"Alexandra","Porsche","7.5","6.5"
"James ","Porsche","7.5","7.5"
"Justin","Porsche","7","4"
"Caroline","Porsche","7","6.5"
"Benoit","Porsche","8","4.5"
"Severine","Porsche","8","5"
"Hugo","Porsche","8.5","4.5"
"Alban","Porsche","8.5","6"
"Romain","Porsche","7","7"
"Nacer","Porsche","7","6"
"Aurelie","Porsche","6.5","7.5"
"Oceane","Porsche","8","5"
"Prisca","Porsche","8.5","7.25"
"Quentin","Porsche","8","5.5"
"Jamil","Porsche","8","7"
"James ","Porsche","6.5","9"
"Louise","Porsche","8.5","7.5"
"Lyliane","Porsche","8","7.25"
"Dorian","Porsche","8","6.5"
"Bergamont","Porsche","8","6.5"
"Youssouf","Porsche","6.5","7.5"
"Claire","Porsche","8.5","6"
"Matt","Porsche","7","4.5"
"Alexis","Porsche","7.5","5"
"Manuel","Porsche","7.5","4"
"Emma","Porsche","8.5","6.5"
"Jeremy","Porsche","8","5"
"Kevin","Porsche","6.5","6.25"
"Rudy","Porsche","6.5","5"
"Yohan","Porsche","7","5.5"
"Christelle","Porsche","8.5","7.25"
"Eleonore","Porsche","8.5","7.5"
